Table 1
Set;Card ID;Name;Number;Rarity;Type;
sor;1;Director Krennic, Aspiring to Authority;1;C;Leader;
sor;2;Iden Versio, Inferno Squad Commander;1;R;Leader;
sor;3;Chewbacca, Walking Carpet;1;C;Leader;
sor;4;Chirrut Îmwe, One with the Force;1;R;Leader;
sor;5;Luke Skywalker, Faithful Friend;1;S;Leader;
sor;6;Emperor Palpatine, Galactic Ruler;1;R;Leader;
sor;7;Grand Moff Tarkin, Oversector Governor;1;C;Leader;
sor;8;Hera Syndulla, Spectre Two;1;R;Leader;
sor;9;Leia Organa, Alliance General;1;C;Leader;
sor;10;Darth Vader, Dark Lord of the Sith;1;S;Leader;
sor;11;Grand Inquisitor, Hunting the Jedi;;R;Leader;
sor;12;IG-88 Ruthless Bounty Hunter;1;C;Leader;
sor;13;Cassian Andor, Dedicated to the Rebellion;1;R;Leader;
sor;14;Sabine Wren, Galvanized Revolutionary;1;C;Leader;
sor;15;Boba Fett, Collecting the bounty;1;C;Leader;
sor;16;Grand Admiral Thrawn, Patient and Insightful;1;R;Leader;
sor;17;Han Solo, Audacious Smuggler;1;R;Leader;
sor;18;Jyn Erso, Resisting Oppression;1;C;Leader;
sor;19;Security Complex;1;R;Base;
sor;20;Capital City;1;C;Base;
sor;21;Dagobah Swamp;1;C;Base;
sor;22;Energy Conversion Lab;1;R;Base;
sor;23;Command Center;1;C;Base;
sor;24;Echo Base;1;C;Base;
sor;25;Tarkintown;1;R;Base;
sor;26;Catacombs of Cadera;1;C;Base;
sor;27;Kestro City;1;C;Base;
sor;28;Jedha City;1;R;Base;
sor;29;Administrator's Tower;1;C;Base;
sor;30;Chopper Base;1;C;Base;
sor;31;Inferno Four, Unforgetting;3;U;Standard;
sor;32;Scout Bike Pursuer;3;C;Standard;
sor;33;Death Trooper;4;C;Standard;
sor;34;Del Meeko, Providing Overwatch;1;R;Standard;
sor;35;Lieutenant Childsen;2;U;Standard;
sor;36;Gideon Hask, Ruthless Loyalist;;R;Standard;
sor;37;Academy Defense Walker;5;C;Standard;
sor;38;Count Dooku, Darth Tyrannus;2;R;Standard;
sor;39;AT-AT Suppressor;4;U;Standard;
sor;40;Avenger, Hunting Star Destroyer;1;L;Standard;
sor;41;Power of the Dark Side;2;U;Standard;
sor;42;Search Your Feelings;1;R;Standard;
sor;43;Superlaser Blast;1;L;Standard;
sor;44;Restored ARC-170;8;C;Standard;
sor;45;Yoda, Old Master;3;U;Standard;
sor;46;Consular Security Force;6;C;Standard;
sor;47;Kanan Jarrus, Revealed Jedi;3;U;Standard;
sor;48;Vigilant Honor Guards;4;C;Standard;
sor;49;Obi-Wan Kenobi;3;R;Standard;
sor;50;The Ghost, Spectre Home Base;2;U;Standard;
sor;51;Luke Skywalker, Jedi Knight;;L;Standard;
sor;52;Redemption, Medical Frigate;1;R;Standard;
sor;53;Luke's Lightsaber;3;S;Standard;
sor;54;Jedi Lightsaber;;R;Standard;
sor;55;The Force Is With Me;3;U;Standard;
sor;56;Bendu, The One In The Middle;2;R;Standard;
sor;57;Protector;2;U;Standard;
sor;58;Vigilance;;L;Standard;
sor;59;2-1B Surgical Droid;6;C;Standard;
sor;60;Distant Patroller;1;U;Standard;
sor;61;Guardian of the Whills;4;C;Standard;
sor;62;Regional Governer;2;R;Standard;
sor;63;Cloud City Wing Guard;5;C;Standard;
sor;64;Wilderness Fighter;5;C;Standard;
sor;65;Baze Malbus, Temple Guardian;2;U;Standard;
sor;66;System Patrol Craft;6;C;Standard;
sor;67;Rugged Survivors;5;C;Standard;
sor;68;Cargo Juggernaut;5;C;Standard;
sor;69;Resilient;4;C;Standard;
sor;70;Devotion;4;U;Standard;
sor;71;Electrostaff;;R;Standard;
sor;72;Entrenched;1;U;Standard;
sor;73;Moment of Peace;4;C;Standard;
sor;74;Repair;7;C;Standard;
sor;75;It Binds All Things;1;R;Standard;
